article	simple	complex
Density	299	8076
Gram	78	1019
Longitude	189	4002
Hilary Duff	168	1104
Oil platform	79	1614
Continental shelf	444	410
Mariana Trench	598	3544
Mariana Islands	141	3815
Image scanner	144	2839
Torture	148	1072
Phasor	76	1054
Svalbard	37	2093
Margrethe II of Denmark	180	4060
Mutilation	67	9688
Heiner Zieschang	58	1204
Jan Mayen	378	4686
Uninhabited	54	1591
Gate	103	975
City gate	38	62
Atomic mass	96	3362
Price	177	32
Doping	236	111
Gaza Strip	175	311
Unemployment	96	1705
Salary	51	1905
Instant noodles	117	11
Louis Armstrong	76	7358
CBS	41	8951
Prime Minister of Canada	67	1793
Magnetism	773	5340
Althing	162	8491
AmapÃ¡	72	14730
Blues	534	3018
Macroeconomics	83	3956
Game theory	649	2111
Taj Mahal	347	1046
Aryan	623	8412
Uzbekistan	125	895
United Arab Emirates	94	6529
Wok	79	4378
United States Navy	66	5835
Pro bono	68	8159
Harvard University	317	11922
Tamil language	71	2791
Kerala	188	10258
Malayalam	188	577
Coimbatore	189	7708
Madurai	264	5233
Assam	90	8990
Arunachal Pradesh	182	2164
Bihar	74	6827
Chhattisgarh	104	8694
Gujarat	132	8716
Haryana	64	4686
Himachal Pradesh	198	10647
Jammu and Kashmir	178	3575
Jharkhand	50	10626
Madhya Pradesh	71	5910
Manipur	34	4719
Meghalaya	55	4534
Mizoram	112	6472
Nagaland	34	5258
Orissa	34	8107
Rajasthan	63	5758
Tripura	89	6069
Uttarakhand	56	3643
Uttar Pradesh	551	13050
West Bengal	207	4393
Szczecin	103	2782
Metropolitan area	177	3088
Marathi language	63	9225
Gujarati language	84	7877
Punjabi language	154	5897
Sikhism	377	1964
Kaveri River	26	5691
Bhopal	173	4335
Dialect	113	4242
Thanjavur	35	6076
Oman	82	2882
Refugee	180	8229
Copperbelt	53	2888
Levy Mwanawasa	33	3721
Cherokee	153	6779
Soup	60	12088
Hyderabad, India	1012	495
Manmohan Singh	9	2456
Indira Gandhi	299	8725
Nintendo 64	219	1288
Krakatoa	164	6262
Goldfish	339	3841
Premature ejaculation	232	4204
West Bank	157	5748
Jan Hus	110	2844
Konstanz	74	3049
Instant messaging	3235	1658
AOL	113	5741
Youssef Rzouga	473	4117
Four color theorem	219	1263
Theorem	282	3632
Triceratops	62	4084
Border	49	469
Genus	208	4026
Cretaceous	174	2929
Textbook	66	4849
Axiom	51	1816
Maldives	117	948
Prime Minister of Australia	60	2539
Structure	57	5626
Hardcore punk	171	3904
Limestone	144	9616
Piero Gobetti	81	2942
Manama	81	1051
Protist	384	4854
The Apple Dumpling Gang	52	1673
1001	34	623
Quentin Tarantino	86	1468
Leander class frigate	33	1116
Spacecraft	315	93
Acoustics	7	47
Public finance	21	2948
Budget	17	1259
Indirect tax	83	1953
Erode	152	1778
Sky Sports	280	2700
Rhetoric	445	1049
Skill	74	332
Hamas	412	4384
Suicide attack	164	6360
Laser	254	12221
NBC	102	2418
Thiruvananthapuram	962	14450
Animal Farm	802	8565
Miso	430	7594
Miso soup	89	10307
Wakame	247	5857
Kelp	92	4794
Tofu	209	1625
Soy milk	75	1036
Dashi	196	686
Soy sauce	258	1062
Oktoberfest	291	5708
Tomb Raider	152	2168
Hot dog	704	214
Constipation	123	2828
Ulm	109	2450
Kyrgyzstan	191	4197
Kebab	185	2319
Halal	106	1419
Surat	9	1959
Kanpur	18	7435
Web portal	62	3096
Humanism	201	2240
The Guardian	226	5761
Algae	963	6192
Kelp forest	97	1716
Symbiosis	309	6501
Al Ain	517	7063
Jutland	289	3383
Dubai	926	2583
Panhandle	70	1505
New town	72	2071
Park	113	1053
Pond	89	9290
Swan	359	292
Pupa	80	6532
Goose	92	1388
Ovary	160	1202
Axe	78	2762
Rhinoceros	209	1312
Acetobacter	90	720
Archbishop of Canterbury	203	818
Ethanol	230	1702
Boiling point	216	3039
Platonic solid	228	157
Euclidean algorithm	123	1588
Eukaryote	1008	5991
Unicellular organism	351	1027
Multicellular organism	355	3136
Kazan State University	80	6063
New World	47	2797
Rabbit	252	144
Louis Pasteur	303	1215
Akrotiri and Dhekelia	64	771
KurÃ³w	83	320
Scorpion	849	3484
1216	14	2378
John Schlesinger	20	1775
LandjÃ¤ger	51	472
Gilbert and Ellice Islands	71	2809
Casablanca	65	25
Bhavani River	11	1093
Flatulence	105	238
Computability theory	128	493
Typewriter	62	2939
Censorship	478	655
Voivodeships of Poland	13	2856
Volleyball	433	5291
Twilight	90	7315
Great Depression	518	1866
Delhi	134	1206
European Central Bank	89	6028
Friendship	107	1525
Clitoris	418	7736
Berlin Wall	1517	7726
ÅÃ³dÅº	185	2548
Portland, Oregon	213	2614
Frame of reference	80	1961
SchrÃ¶dinger equation	121	8948
Nutmeg	31	3155
Run (island)	326	8997
Shinty	114	3505
1680	17	1568
Hierarchy	168	2657
Sultan	93	438
States and territories of India	16	2862
Finnish language	347	38
Sleep	1042	3265
Republic of Macedonia	432	798
Anorexia nervosa	136	815
Rabies	259	6658
Tirana	73	5814
John Forbes Nash, Jr.	199	8521
Calisthenics	80	1903
Wooden spoon	35	3973
Table tennis	57	3507
Template:Wikivar	23	2102
Nayarit	37	844
Mindanao	33	651
Phylum	88	6302
Knuckle	60	27
Royal family	32	549
General election	20	2396
Flash memory	312	894
Bottrop	187	165
Puducherry	134	823
New York Yankees	217	481
Terry Pratchett	63	5935
Critic	240	379
SÃ¸ren Kierkegaard	241	1851
Despotism	76	11597
Lakshadweep	42	6783
Daman and Diu	33	510
Ketchup	672	10589
Dadra and Nagar Haveli	33	817
Birthday	160	1976
Yi I	105	268
Sunrise (company)	46	1955
X-ray	239	477
Hanoi	138	1844
The Chronicles of Narnia	730	837
Otherkin	189	711
Pedro Romeiras	33	6623
Bonfire	419	3418
Bic Runga	27	8259
Carnival	1200	360
Fasting	172	138
Walpurgis Night	467	1804
Jyllands-Posten Muhammad cartoons controversy	232	1001
Blasphemy	25	13158
Brie	316	8594
Pasteurization	1247	1864
Cult	140	5597
The Cult	38	810
James A. Michener	262	691
War of 1812	316	896
Chandigarh	120	4317
Convection	399	6550
Chipmunk	136	1594
Vicente Piccio, Jr.	47	13969
Piccio	6	3508
Donald Duck	147	3011
Montevideo	38	612
Book of Esther	843	421
Clay	113	79
Rifle	241	6136
Deuterocanonical books	155	13697
Nicobar Islands	429	3329
Andaman and Nicobar Islands	163	1130
Kazan	254	4139
Tornado	523	2729
Magnet	356	962
By-product	136	2401
Toxic waste	58	2761
Space Runaway Ideon	45	8042
Comic book	226	4639
Spider-Man	1379	98
Peanuts	44	1730
Eddie Cantor	149	4191
Recorder	812	3641
Adolphe Sax	30	7523
Unforgiven	33	9310
Bucharest	30	2923
Tocantins	10	6498
Avalanche	154	583
Acre	114	1859
Erfurt massacre	101	8310
Gymnasium (school)	60	1827
HuascarÃ¡n	123	8137
Australian Football League	332	752
Urbain Grandier	104	578
Cardinal Richelieu	360	2728
Belaying	135	489
Help:Email confirmation	132	6046
South Vietnam	111	1086
Robert Ludlum	39	5411
Arab people	255	1629
Mebibyte	237	161
Clergy	25	5093
Acre (state)	204	616
Roller coaster	253	4620
Zimbabwean dollar	44	440
Bahia	112	6002
Body modification	139	4336
Serial killer	346	3155
World Wide Fund for Nature	162	5503
Deforestation	214	6124
Scuba diving	216	379
Capillary	464	5907
Sponge	994	2114
Kibibyte	23	7477
Lara Croft Tomb Raider: The Cradle of Life	36	3717
Amplitude	116	865
Ska	288	6517
Braille	2552	344
Switch	143	1667
Francis Bacon	470	1242
Sled dog	843	2148
Overland Expedition	499	3763
Number theory	52	3114
Tear gas	97	4989
Kaba Ma Kyei	699	1064
Yangon	440	588
Pyinmana	36	3188
Burmese language	175	318
Danielle Steel	65	225
Coat of arms	151	5667
Hat	83	224
Postage stamp	155	5220
Czechoslovakia	175	1946
William Randolph Hearst	147	2224
Joseph Pulitzer	754	552
Horace Greeley	98	4585
Arachnid	433	2877
Arthropod	123	3919
University of Alabama	200	2485
Gomaespuma	61	1934
Engineer	82	5786
Division by zero	319	5868
Calabria	23	4384
WordPress	110	129
Outback	267	3268
Marske-by-the-Sea	123	2573
PayPal	42	3431
Orson Welles	106	1312
Slobodan MiloÅ¡eviÄ	314	2205
Gymnosperm	131	501
Brock (PokÃ©mon)	193	5251
Silba	62	13143
Ian Fleming	26	12881
1611	22	856
Raiders of the Lost Ark	610	1814
Ash Ketchum	1592	1122
Sangha	156	3899
Courteney Cox	68	38
UEFA Champions League	288	5065
FA Cup	113	1789
Old Trafford	74	1961
Stadium	116	1467
Disaster	290	2493
Bobby Orr	219	4393
The Muppet Show	52	6440
1250	15	2137
Java (programming language)	217	1059
Eon	193	9245
Bhagavad Gita	124	1899
Concert	408	25
Alderney	61	4292
Hera	767	45
Mirror	208	5935
Space probe	53	1014
Blue's Clues	79	3570
Ford Motor Company	475	4096
Rastafari movement	268	4179
John Constable	934	517
Alyssa Milano	51	2496
McGurk effect	123	8596
J. M. W. Turner	673	10472
Mug	48	2706
Claude Monet	463	2516
Video	105	252
Stretching (body piercing)	109	3173
Chernobyl disaster	328	1807
Thyroid cancer	140	2478
Containment building	197	1986
Klaus Wowereit	439	877
Liu Bei	422	10043
Cao Cao	308	767
Zhang Fei	138	2246
Dong Zhuo	268	674
Sun Quan	451	6359
Conference	104	4576
Pasture	36	1907
Hectare	46	3423
Zhuge Liang	87	5245
Wavelength	160	15
Francis Scott Key	79	130
Latex	77	881
Drum	183	4149
Invasion	81	2845
Hello	278	959
Annexation	45	1188
Manchuria	224	1536
Tuva	522	6677
Senkaku Islands	191	899
Ryukyu Islands	160	1753
World Youth Day	177	3997
Carl XVI Gustaf of Sweden	52	2034
Age of Empires III	124	1354
Ulan Bator	606	1292
Pyongyang	76	1608
IBM	120	2426
Mary (mother of Jesus)	670	7618
Quake	83	4689
Zen	70	1861
Scottish English	28	4352
Mathematical analysis	371	8097
Locust	66	21
Grasshopper	40	9271
Olive oil	99	1004
Oil lamp	96	1068
TomÃ¡Å¡ Garrigue Masaryk	113	2445
Arachne	335	1838
Arachnophobia	35	5399
Phobia	170	3974
John le CarrÃ©	38	1816
Sexually transmitted disease	180	964
Atacama Desert	235	549
International Atomic Energy Agency	138	1419
Roger Ebert	170	2162
Seibersdorf	40	3360
Baguette	374	1391
Barometer	153	2347
Nokia	113	5714
Research	164	119
E3	75	1450
Prince Edward Island	117	2117
Antigen	228	7431
Chaos	79	1071
Spice Girls	160	14
Traffic cone	207	4164
Agatha Christie	190	1229
Kwame Nkrumah	217	897
Diego VelÃ¡zquez	71	10911
Kinshasa	284	797
Great Barrier Reef	1512	3697
Missouri Compromise	407	2688
Peafowl	902	5397
Dachshund	679	2476
Karachi	426	4632
Transliteration	112	939
Taoism	278	937
Poverty	421	4149
British Empire	326	7615
Chimbote	89	748
Tram	70	5066
Scott Joplin	214	7211
Propane	82	10668
Flag of Japan	85	1376
Nationalism	809	6467
Drought	91	5128
Liver bird	210	2668
Movie theater	196	6274
The KLF	94	2634
Monounsaturated fat	69	1250
Polyunsaturated fat	78	908
The North Avenue Irregulars	117	6621
Candleshoe	68	9050
Hikaru Utada	703	616
Scramble for Africa	209	787
Seaweed	683	1244
Fairy tale	890	390
Category:Buildings and structures	10	5488
Game show	202	8083
Genre	185	900
Kristy Swanson	46	5802
Octopus	1071	14
Category:Psychology	6	1122
Byzantine Empire	1057	5228
Guqin	4558	724
SÃ£o Paulo (state)	517	3704
Abuse	55	32
Urethra	224	13275
Hostage	50	6090
Nintendo Entertainment System	155	8063
System of a Down	698	6281
Belarusian language	95	651
Kevin Bacon	63	2407
Kyra Sedgwick	57	7671
Treaty of Versailles	1375	3349
Saint Pierre and Miquelon	53	4871
50 (number)	93	1850
RzeszÃ³w	40	669
Houston	105	4922
Colonialism	930	2558
Hey Arnold!	85	172
Diego Maradona	63	1283
JosÃ© Luis RodrÃ­guez Zapatero	74	9116
Electric guitar	400	2978
Louise Brooks	135	680
Bangor, Maine	17	5888
Ben Bradshaw	95	11781
Eschelbronn	201	7939
Order of the Bath	296	3327
Kurdish people	138	10741
Guerrilla warfare	97	1391
Sacrament	113	176
St. Petersburg, Florida	51	5467
20 (number)	248	6892
40 (number)	74	3623
70 (number)	34	2757
Gas giant	109	4118
North Vietnam	137	56
Set theory	235	294
Demo (music)	40	165
Breton language	64	1654
Celtic languages	213	1112
Salem, Tamil Nadu	27	2913
Hunger strike	77	565
Hermitage Museum	159	2704
Boeing 747	103	1384
Richard Trevithick	30	3203
Wasilla, Alaska	43	4125
Rantoul, Illinois	33	4465
Winter Springs, Florida	17	8474
Clearwater, Florida	37	4981
Jordanhill railway station	64	1916
Googolplex	65	749
Flint	242	471
MediaWiki:Captchahelp-text	212	2599
Valley Center, California	13	1097
Newbridge, County Kildare	24	1150
Anaheim, California	49	1272
Chair	94	172
Hercules	106	913
Navigation	250	1643
The Karate Kid	108	3880
Crazy Horse	567	2840
He-Man and the Masters of the Universe	133	1320
Fantasia Barrino	45	3949
Cabrillo Beach	169	1646
Chulalongkorn University	204	5257
Khartoum	46	1083
Konkani language	172	3321
Trench	61	172
Trench coat	85	1791
Trumpet	316	1819
Microwave	206	5516
Microwave oven	214	517
Cobalt	356	732
Canidae	115	4090
Nickel	631	2755
Fox	262	5628
Age of Mythology	43	3802
Cambridge, Massachusetts	44	1674
1684	16	3451
Vole	92	1201
Isthmus	54	3704
Rodent	247	5452
Category:Rodents	13	38
Titan (moon)	986	926
Computer numbering formats	76	236
Columbus, Georgia	49	1140
Carthage	90	26
Brockton, Massachusetts	28	7964
Rabat	1118	2523
Duke Kahanamoku	115	2399
Overland Park, Kansas	12	5888
Bedford	1460	2568
Pentomino	27	1655
Ejaculation	2337	1675
Team	112	1742
Human evolution	3000	3600
Ancient Rome	584	1461
Globalization	491	1616
North Holland	45	1678
Folk music	873	5500
Abraham	100	10583
Tao Te Ching	286	9307
Bacon	160	1337
Vyacheslav Molotov	160	3297
Babylonia	985	6501
Joachim von Ribbentrop	47	3661
Karma	743	2572
Western Hemisphere	63	4285
Molotov cocktail	1114	4710
Flammability	121	24902
Arson	41	2893
Cocktail	201	332
Sneeze	180	2330
Google Talk	34	686
Armour	362	700
North Star Computers	179	679
Mario Bros.	89	1577
Oval	17	1994
Risk	241	3806
Pipe organ	4848	329
Manx language	255	2096
Goidelic languages	28	398
Manx (cat)	95	4468
Agave	83	5507
Charles II of England	807	6847
Crunk	70	1706
Pimp	20	1618
Asian	15	1503
Allan Kardec	190	5610
Hyves	83	1653
Sex organ	2430	951
Laurence Olivier	45	55
Spiritism	18	780
Poodle	188	758
Irish language	274	676
Max and Ruby	135	7124
Apollo program	157	3836
NASA	1123	3115
Advaita Vedanta	467	6242
Parthenon	141	2053
Jackal	181	5799
Diogenes syndrome	116	6828
Felidae	124	4353
Andrei Sakharov	524	5490
1686	17	717
1st century	24	159
Equidae	53	2246
Lynx	371	1908
Shania Twain	54	38
The Grass Roots	24	431
Dionne Warwick	16	304
Barenaked Ladies	153	1690
Nintendogs	283	4737
Luigi	98	2000
RAID	5767	7676
Leonid Brezhnev	135	5939
Approximation	81	2550
PhpBB	33	2241
World Health Organization	52	16049
Jerboa	28	9279
Aesop	312	821
Template:FishBase genus	17	3607
Olfaction	121	2384
Teaspoon	77	555
Camembert	48	3574
Shiva	97	114
ASCII art	78	3580
Riddle	56	640
Novalis	35	868
Body piercing	222	4416
Elonka Dunin	75	3569
Category:Designers	7	2178
Supernova	383	2605
Bethlehem	34	5253
Disco	453	899
Albert II, Prince of Monaco	42	15
Rex Warner	21	5508
Franz Boas	20	5710
IMAX	27	8494
Esotericism	46	3243
Hugh Cook (science fiction author)	36	427
Jainism	295	12585
Sect	48	4047
Caracal	498	2549
Eel	441	651
Template:FishBase order	17	9075
Easter egg	466	1151
Lemur	409	1343
Good Friday	1149	1334
Archaea	186	18
Jared Diamond	382	1937
Iglesia ni Cristo	149	15109
Emma Goldman	489	5792
Computer engineering	221	5191
Spanish Civil War	226	1172
Fyodor Tyutchev	327	8522
Erythropoietin	99	11296
Anarcho-punk	49	333
Hardware	78	9688
Slavic peoples	239	1852
Maharbal	263	2062
Hannibal	2175	1906
Veganism	249	105
Necrophilia	39	5607
Strait of Magellan	70	919
FenerbahÃ§e S.K.	51	8075
Category:Alkali metals	29	5326
Lake Tanganyika	33	1241
Lubbock, Texas	25	1216
Pearl	321	3270
Warner Bros.	57	11
Star Wars Episode VI: Return of the Jedi	114	1492
Freedom of religion	55	5006
MDC (band)	181	6748
Category:Anarcho-punk	14	10011
Optimus Prime	73	5467
Comic strip	65	7343
First ScotRail	42	1210
Waste container	77	38
Vijayanagara Empire	163	16
Delhi Sultanate	98	4694
Hoysala Empire	185	1349
Lech KaczyÅski	73	1262
Argead dynasty	90	5790
Antipatrid dynasty	47	1336
Antigonid dynasty	50	4028
Futurama	417	1998
Radar	195	460
GameSpot	155	50
TV.com	118	287
South Asia	272	7766
Brookhurst, Wyoming	19	7135
Bollywood	575	2760
Dinah Washington	21	501
Adrenal gland	62	3908
Chiswick	21	458
The Golden Girls	35	8848
Bark	42	1070
Cowboy	37	783
Janet Reno	36	2805
Alex Haley	70	6499
Harold Robbins	23	1763
Baptism	117	9347
Shang Dynasty	70	1512
Bu Bing	134	2707
New Year's Eve	148	821
Chen Dynasty	160	10087
Fighter aircraft	99	3490
Aircraft carrier	263	149
Edward Kasner	176	9709
Bay of Bengal	66	151
Malay Peninsula	30	10456
Jubilee line	478	3630
Medical emergency	459	405
Southeast Asia	40	2475
Boxer (dog)	852	168
American Graffiti	64	2436
Lake Vostok	371	873
Infrared	144	5626
Municipalities of Republika Srpska	45	2928
Republika Srpska	56	5598
Kenneth Branagh	64	2289
Sculpture	117	3507
Charles V, Holy Roman Emperor	172	604
Renaissance	1786	3786
Lava	276	2025
Greenwich Village	207	7064
Yoshiki	19	1276
Aragon	62	8443
Aragonese language	53	3040
Levi Eshkol	22	3729
Sidney Sheldon	64	16
Mackenzie Bowell	588	2517
Rugby World Cup	114	785
Ball bearing	33	824
Kick	224	1025
1400	27	808
Islam and clothing	41	2609
Charles I of England	907	3060
Pepin the Short	129	3710
Sense and Sensibility	37	35
Pride and Prejudice	809	69
Chris Martin	72	10398
Joseph Fiennes	76	1336
Wikibooks	169	2816
Charles IX of France	126	4112
Henry III of France	148	1790
Constance of Arles	53	720
Matilda of Boulogne	119	343
Alix of France	32	1710
Flemish Region	48	2300
Template:Block	74	648
Sgt. Pepper's Lonely Hearts Club Band	179	543
Winter Palace	133	229
Standing's day gecko	69	519
Charles VI, Holy Roman Emperor	33	56
Pierre Trudeau	345	5249
Jennifer Lopez	313	9831
Anne of Brittany	117	377
Ritual	134	1847
Marie Antoinette	1339	7668
Montesquieu	523	6590
Aristocracy	98	2714
Poseidon	199	1036
Object-oriented programming	403	10152
Handball	59	1789
Template:Soft redirect	46	275
Twelve Olympians	159	2503
Sandro Botticelli	932	3587
Hermes	97	10
Maia	140	0
Medieval commune	655	706
Imperialism	88	1665
Heresy	168	2775
American Sign Language	230	21
Sign language	167	2119
Saint-DiÃ©-des-Vosges	90	1893
Rhodesian Ridgeback	65	1121
Glove	228	3867
Tales of Symphonia	389	4319
Protestant Reformation	207	1911
Sermon	65	3091
Sand	135	1944
Alsatian language	25	3374
Ian McEwan	434	7552
Mahjong	318	1653
Ionia	23	1040
Harmonic	90	629
Art Ross Trophy	169	2295
Category:Ice hockey teams	12	8205
Towel	41	3107
South Georgia and the South Sandwich Islands	91	902
Batman: Rise of Sin Tzu	84	543
Vein	175	10
Ottawa Senators	324	100
Calgary Flames	265	3864
Edmonton Oilers	274	564
Philadelphia Flyers	389	1620
Pittsburgh Penguins	1108	5267
Conn Smythe Trophy	92	6373
Los Angeles Kings	204	5690
St. Louis Blues	357	11933
Ratio	124	8453
Fraction	12	547
Proportionality	79	6753
Menominee, Michigan	60	10688
Mortar and pestle	83	2725
1212	9	12
Hiram E. McCallum	24	18
Walter Cronkite	97	1403
Dog Day Afternoon	46	1013
Cursor	29	25
Kurt GÃ¶del	384	246
Tyrannosaurus	289	8740
Brno	113	2355
David Hilbert	461	87
Bertrand Russell	813	3157
Alfred North Whitehead	80	8185
Wikipedia:Policy dispute	57	1227
Category:Wikipedia policies and guidelines	39	3834
Mask	526	4422
Holiday	34	1601
Spokane, Washington	253	46
M16 rifle	199	9
Foreskin	301	4870
Sid Vicious	143	834
Wii	1390	9707
Tricia Nixon Cox	80	10133
Grocon	34	2087
GÅuchoÅazy	30	2112
Columbia River	171	7238
Martyr	37	266
Whittier, California	251	254
Category:Video game consoles	8	203
EarthBound	755	10708
Mother (video game)	65	1344
Mother 3	171	3769
Cardcaptor Sakura	206	24
Allies	18	3906
Wilhelm Busch	159	2744
Electronic sports	72	6584
Marklohe	30	5130
Skunk	198	309
Cerebellum	84	329
Sustainable development	493	4549
Ribose	41	58
Deoxyribose	28	1878
Henry Royce	46	7742
Profession	55	3564
International Nuclear Event Scale	453	467
HafnarfjÃ¶rÃ°ur	47	547
Bloomington, Illinois	12	1644
Giverny	22	954
Fort Collins, Colorado	27	1216
Silver Spring, Maryland	34	1033
Iraq	600	1831
Parent	54	418
Lee Hsien Loong	11	5031
Adam and Eve	321	4400
Ramadan	372	10145
Tenzing Norgay	547	1202
Sherpa	59	2570
Charlotte Eagles	35	3325
Charlotte, North Carolina	797	1867
Carolina Panthers	46	2043
Selgovae	219	1242
Harrison Ford	77	305
Early Middle Ages	260	5265
KGB	417	2801
Nicolaus Copernicus	271	1458
Drizzle	30	3716
Lightning	296	8483
Roseau	22	3223
Paint	842	8872
Mark Antony	396	489
Digg	53	8297
Crossword	189	1797
Bob Geldof	85	3030
Bullseye (UK game show)	44	5258
Coronation Street	96	2279
European plaice	194	6599
Taboo	784	5233
Flatfish	69	2518
Monopoly	95	12052
Pluto (Disney)	71	1105
Mardi Gras	154	1173
RÃ¸ldalsvatnet	34	771
Technorati	38	6200
Stuart, Florida	26	1296
Astoria, Oregon	47	1440
The Goonies	63	39
Press Your Luck	242	721
Nepal Bhasa	87	975
Narcolepsy	159	2005
Danny Phantom	633	2174
Cane	48	4662
Amazon.com	87	3549
Summer Olympic Games	226	3734
Alpha Centauri	340	1245
Category:Bells	7	611
TGV	331	6328
Caregiver	58	4358
Binoculars	204	4954
Wikipedia:Naming conventions (technical restrictions)	82	14
Category:Materials	11	7506
Tent	130	2175
Cottage	135	3419
Alaska plaice	189	1169
Sleep paralysis	170	90
American plaice	150	2740
Spider web	72	1576
World Series	58	238
Melissa Joan Hart	85	1622
Jamie Lynn Spears	78	165
Opel	74	2171
Burn	24	4113
Adobe Photoshop	108	1519
Finger	76	687
Bronze	387	6643
Flight	69	2516
Reindeer	498	1369
Deer	284	1623
Atomic mass unit	41	2071
David (Michelangelo)	479	2532
Moses (Michelangelo)	41	3554
The Birth of Venus (Botticelli)	83	4315
Cupid	44	458
The Creation of Adam	19	2103
Newbury, Berkshire	62	878
Microsoft FrontPage	150	1863
Staff (stick)	27	634
Martial arts	830	522
Gonad	30	2493
Felix Mendelssohn	1225	565
Expert system	365	805
Hermann Hesse	55	3978
Dynamic Host Configuration Protocol	145	224
Channel Tunnel	73	8594
Katowice	155	4533
Mobile phone	1158	3296
Giorgio Napolitano	104	2931
Robert Byrd	277	7855
Artemis	198	2068
Apollo	176	5633
Nike (mythology)	131	2459
Montagu Island	12	6362
Styx	51	4405
Groucho Marx	68	7549
Greek mythology	594	273
Nyx	144	275
Hemera	77	541
Aether	248	5386
Geras	21	9053
Hypnos	46	961
Momus	33	285
Moros	37	23
Metis	197	128
Eos	82	284
Leto	138	1066
Sioux Falls, South Dakota	61	60
Christopher Eccleston	42	23
Deliverance	59	729
Ares	71	2075
Anna Kavan	266	4952
Voodoo	1136	2152
Mercury (mythology)	35	2350
Lilo &amp; Stitch: The Series	68	2611
Olga Bondarenko	101	631
Hephaestus	671	22
Vulcan (mythology)	1162	1070
Tyche	30	187
Demeter	104	85
Roman mythology	121	1980
Ancient history	283	3326
Andrzej Sapkowski	68	535
Staten Island	50	2927
Borough	321	1792
Echo (mythology)	428	12858
Zelus	61	542
Mnemosyne	26	7459
President pro tempore of the United States Senate	272	2335
David Tennant	39	566
Category:Science fiction	7	130
Category:Science fiction television series	9	211
American Broadcasting Company	68	1792
Fox Broadcasting Company	29	4124
ABC	16	33
Papua New Guinea	37	11
Strom Thurmond	393	9823
Roman Forum	60	7153
Playwright	293	16
Iambe	126	5024
Triangle (instrument)	128	3546
Bernie Little	194	3436
Perseus	240	2618
NiccolÃ² Paganini	196	192
Viola sororia	81	871
Under the Rainbow	87	240
Gilli-danda	86	2791
Southern United States	196	3242
Greenhouse gas	426	192
Leverkusen	24	3138
Tocotronic	16	964
BolesÅaw Prus	133	8482
2040	17	4317
Wayne Mixson	173	297
Reubin Askew	219	388
Trabant	227	4661
Lindsay Lohan	148	17
Postum	52	803
Brok	89	1569
Herb Alpert	64	2309
Teddy bear	101	5739
Hangul	303	367
Lincoln Chafee	198	22
Sascha Fischer	116	3280
Bob Graham	313	1317
Ohio Wesleyan University	28	8288
Lakshmi	57	1980
Dreamtime	199	76
Loch Ness Monster	163	2048
Southern rock	35	6664
OstrÃ³w Mazowiecka	17	3384
100	107	1143
Niue	93	7464
Master race	387	2512
Thomas the Apostle	126	44
Bartholomew the Apostle	123	86
John the Apostle	80	4617
Saint Peter	501	2989
Sistine Chapel	925	5067
Pope Paul III	27	1725
Pope Sixtus IV	33	1950
Pope Julius II	27	9686
Donato Bramante	23	4114
Beastie Boys	133	2851
Macbeth	1797	2169
Love's Labour's Lost	75	2329
Titus Andronicus	35	677
The Comedy of Errors	36	4861
Raphael	1429	7262
Non-governmental organization	256	1269
Wikipedia	686	3397
Conservation law	520	2304
Animal rights	74	6402
Aaron Sorkin	89	3333
Aristophanes	190	10293
California Institute of Technology	178	125
Chicago Cubs	389	10036
Herpes simplex	133	5385
WÅadysÅaw Reymont	115	5444
Sartell, Minnesota	1299	7407
Sunset	53	12115
Pop punk	279	5061
Sheryl Crow	72	2240
Chubby Checker	46	1404
Irish people	169	1232
Claude Debussy	1045	2312
P.O.D.	217	3337
Geta (footwear)	208	1568
Tabi	30	6519
Bydgoszcz	36	5309
The Mystery of Edwin Drood	1220	2532
Vientiane	28	881
Dome	75	408
T cell	55	2815
Biscuit	161	3457
Electromagnet	285	1980
Palau	118	11383
Peter Falconio	289	2775
John Howard	578	1780
Swedish language	465	3345
Walter Mikac	79	3417
Martin Bryant	120	2002
Rugby league	176	5766
Dustin Hoffman	128	6822
Chopper Read	181	187
Elle McFeast	141	2630
Elle Macpherson	114	2984
Andrew Denton	142	2631
Rene Rivkin	114	1816
Eric Bana	67	163
African American Vernacular English	214	1681
Joe Vialls	325	1309
Narita International Airport	34	443
Chest	15	2792
Axiology	19	3553
Blackburn	39	897
National Security Agency	160	4681
Robert Wadlow	219	1017
Code	283	156
Goaltender	120	8692
Wikispecies	266	4198
Lopp Lagoon	115	629
Welsh people	14	1509
League of Nations	547	2300
Montenegro	193	333
Solar eclipse	536	119
Kate Fischer	60	4156
Alton, Illinois	27	11382
St. Louis, Missouri	112	6381
William H. Tunner	19	5768
Sarasota, Florida	85	317
Paul Reubens	187	2953
Peekskill, New York	36	11884
MaÅkinia GÃ³rna	54	1949
John C. Calhoun	74	10059
Pelvis	118	5800
Star Wars Episode I: The Phantom Menace	402	2103
Star Wars Episode II: Attack of the Clones	307	95
Cyprus Mail	33	6049
Collision	273	3940
Belgrade	55	6226
Puncknowle	22	4622
Hydrogen economy	65	112
Brachiosaurus	155	1224
Barnacle	295	7574
International organization	74	45
Port Arthur, Tasmania	1747	8457
Odysseus	100	3515
Cast iron	168	1933
Incest	422	89
The Canterbury Tales	1129	2081
Adult Swim	94	4940
WESC	58	1137
Tillage	67	4104
