article	simple	complex	simple_size	complex_size
Protein	8.271768303304045	9.624386227652696	414	5629
Periodic table	12.094174283205612	11.51745624776354	402	2382
Physiology	15.261091029961404	6.210890452257536	135	842
Planet	9.554952295646906	8.877398899299408	355	8114
Police	8.21169572488716	5.244895674511618	414	8651
Proper noun	8.474257429906377	5.547145080964204	31	1591
Plastic	8.770110681002535	6.924640406251473	190	4239
Product stewardship	12.605866719625908	13.168004303667024	579	574
Peace	19.17094909754366	17.155769364246847	706	2336
Quebec	8.329677024312177	10.794920492678658	974	9951
Religion	9.839537753610127	9.231607304664074	1769	5594
Rudyard Kipling	12.052257721201524	22.107646001819685	47	7594
Recreation	26.21825067436199	23.16788693494125	95	1081
Red	14.889769161886269	13.994108298068738	87	3358
Raw	15.217664045743962	16.28332994097293	62	13
Roman Empire	7.279582633260902	5.196046238409148	872	13011
Regime	17.637066855419313	21.452480227162564	260	284
River	13.938490502903374	12.523073384426189	975	2874
Right angle	10.689285882783151	6.909206527947614	76	621
Ranch	19.588349057952765	6.386426124825085	59	2132
Sport utility vehicle	14.505572468878864	14.116129303732382	725	3474
Symbol	17.875383276124886	18.760910027357628	144	832
September	19.293594737141845	10.10843821475772	85	184
Sound	3.278633866150725	4.0222510099763795	707	1219
Society	21.95825211833688	17.18634261525932	371	3128
Suggestion	-1.0	4.92620046200326	69	472
Spache Readability Formula	34.00451063772221	9.955865725531353	161	110
Sport	17.037863281732164	23.15672403733829	117	2516
Science	17.61891684918121	10.417095964745608	462	6869
Saint Lawrence River	12.346591143873269	12.80837568220103	136	1208
Seville	12.937169381302914	8.348093604531197	247	2761
Salami	15.972375054770332	16.041194779366098	205	907
Special English	12.336555925750297	16.264250242945415	124	512
Sausage	9.051579512382885	4.603631351831151	135	5753
Slang	13.553340432931442	12.848522544329661	283	1083
Wikipedia:Simple English Wikipedia	9.841197920016754	14.848827999607979	803	375
Social contract	6.048404537091648	11.616039121271786	133	3940
Social capital	10.864292200568533	7.847927738109234	303	8707
Site	12.487917352553707	12.394839410548112	169	42
Subtraction	5.883781613777244	7.712972512542131	128	1476
String theory	7.650030643350064	5.8630082914298765	903	8471
Scientist	17.97797058190117	12.270873567841257	121	1958
Soapbox	16.68450120269246	14.404253299656764	82	919
Supernatural	18.278541578057055	8.344934925493812	155	769
Spirit	15.982918213451251	11.5856228499809	201	537
Sail	17.7732554890671	8.015078799467878	136	3127
Skin	10.340683989127182	7.863191608073012	175	1761
Shabbat	12.245659583478744	3.50212656612851	266	3695
Statistics	13.58432360908442	2.1141000489782606	1359	3278
Speed	10.564360816484006	16.987847517444322	127	305
Server log	10.476141832398747	13.972696005023218	25	240
State	10.32298205616584	-1.0	927	29
Stream	23.647875203416778	2.6035729780776555	21	1855
Solar System	11.878653613814507	9.67339299351736	906	7676
Slavery	4.2082946691067304	3.0100557732732565	707	8047
Soul	10.961137271425102	8.911037466381428	381	8866
Soap	10.587474563495098	2.3346907696181045	258	3184
Summary	-1.0	16.24960514178873	82	243
Service economy	13.99977251520701	19.836298039953952	102	1141
Sense	15.28561024169437	9.540557477478105	228	2921
Synagogue	7.538347555817901	5.889543078065951	373	2192
Scarcity	26.8765379012721	19.908524039496527	179	472
Theatre	14.002257743925195	16.241827761624094	1129	1835
This	8.779064198558196	12.647521481024766	111	18
Wikipedia:Text of the GNU Free Documentation License	21.1330279583809	17.874808321114102	2904	4052
Time horizon	16.29430466154829	21.98713492793185	101	436
Time limit	22.379532736615683	26.51468339665855	208	41
Taiwan	2.483661839840162	9.323594994623742	578	7761
Trademark	3.174828117443437	2.587276732340083	626	6541
Ten Commandments	3.9987318991753895	3.8541789307446517	2500	7124
Tree	11.853664948591046	11.714858534931686	2865	2959
Tragedy	20.584496498162984	5.255243872893429	139	5236
Taxonomy	9.248472569023754	11.865531966998741	429	1852
Temple	15.812387675764526	8.873667666047238	49	1887
Theft	9.10857567565152	4.874801184717069	193	1458
United Kingdom	12.9886776582982	14.813309542719008	2427	14788
Universe	8.175840672931317	9.948071107910671	3339	9128
Uranus	11.349360008535086	10.962792949617153	1036	7690
University	21.08033559002373	21.25626539359914	364	3766
VolapÃ¼k	14.486966480095388	14.055721993513444	234	1984
Vocabulary	8.724144133196226	4.8066637639633045	527	1842
Verb	6.627819931247559	12.45611923889499	1633	1326
Volume	20.86880175490864	11.758005740821435	81	719
Vatican City	12.894246492968934	6.808548623412736	324	5543
Velocity	12.236020426467935	7.4586584452558435	155	858
Virtual community	15.962508272929739	12.978406299853336	56	3477
Wikipedia:Wikipedians	12.91558925038017	10.06872050193654	67	752
World Wide Web	11.824802217287674	10.505237418235273	165	4687
Wiki	5.770958119659787	3.9210748369189017	432	4379
Website	18.546123968602135	11.707612499389914	283	2248
Word	11.614834702746785	13.647167617942902	180	1103
Web browser	18.899470915997743	7.452717285825151	62	1444
Wikipedia:What Wikipedia is not	10.636875741071796	7.127396906151904	44	2072
Wikipedia:Mailing lists	8.390733936118941	24.94270748530286	334	252
Wiktionary	8.161743620626188	11.308128333530266	164	1228
Microsoft Windows	11.939786710307075	12.67289376565206	226	3593
Window	13.973526039478893	6.502534633930083	95	2729
Wine	6.223384546730076	5.385225140817085	270	4945
Water	8.137863515254388	9.171318484893934	499	7466
Web server	7.965181431588802	10.233150345189095	180	967
War	10.278328182724291	11.163740114438474	875	7567
Year	8.8076596564376	3.8719975075454403	122	2958
Yard	18.13615349840729	18.793155424268747	33	557
Chinese language	12.344341776415	8.562981974240248	1279	7646
Zoology	14.186149003341216	8.127449603820752	114	1629
Zinc	5.710516858758034	8.338885748602692	1617	7870
Zebra	8.958775982255558	5.90565616511667	208	2488
Zoo	24.79570268697965	14.335064543895406	172	3575
MediaWiki:Lastmodified	-1.0	-1.0	9	8
MediaWiki:Nosuchactiontext	22.537480887159766	31.193745172539472	10	12
MediaWiki:Logouttext	10.0	20.399143812229287	55	56
MediaWiki:Loginsuccess	10.0	11.798081049107946	17	24
MediaWiki:Passwordremindertext	13.682209159758767	5.575064886416262	50	99
MediaWiki:Searchresulttext	-1.0	11.764705882352942	19	19
MediaWiki:Searchdisabled	13.992710672284158	14.321609856033588	46	48
MediaWiki:Uploadtext	15.476333910997445	17.041030271376965	180	85
MediaWiki:Disambiguationspage	-1.0	43.1747338028228	69	214
MediaWiki:Booksourcetext	-1.0	-1.0	50	49
MediaWiki:Mailnologintext	10.064731428601704	10.064731428601704	22	23
MediaWiki:Blockiptext	13.900109505703279	17.419374366448928	176	131
MediaWiki:Blockipsuccesstext	3.956955851405361	-1.0	26	8
MediaWiki:Autoblocker	16.28332994097293	16.28332994097293	27	30
MediaWiki:Blocklogtext	10.0	26.51468339665855	50	97
Wikipedia:Deletion log	24.42499935136731	10.0	6048	21
Copyright	8.044985522691018	5.668937758240191	829	9985
Republic of China	6.418677966045492	6.894648674211601	642	10357
Wikipedia:Protection log	38.25916808785811	-1.0	238	20
Wikipedia:Statistics	19.174038261117765	19.52416381846635	21	242
Wikipedia:Template messages	17.509428170568714	31.327397218920577	325	571
Template:Uw-test1	9.99762322096505	7.243250105289636	49	57
Wikipedia:Vandalism in progress	-1.0	-1.0	9	2
Wikipedia:Announcements	15.61337913681686	22.089798368474465	106	39
Wikipedia:About	10.327593723929274	7.8044581098250925	207	3908
Wikipedia:Contact us	10.246383482311241	17.72060426924714	644	24
Wikipedia:Deletion review	26.1683377499678	24.097453061621348	150	424
Prison	10.801505132600175	3.852407616020209	472	4962
Mexico	5.034822115316203	9.615530356894006	1105	11371
Atlantic Ocean	12.122896721419744	4.618927298659746	303	2640
Mercury (element)	11.786106570841971	13.098292869369764	1631	5583
Wikipedia:Disambiguation	16.471647188046035	14.50190779492051	1030	1975
Africa	11.581895497754298	8.922674378421904	755	6956
Butter	11.97204265797719	8.353712781958922	109	4260
Cold War	9.001414015117506	10.51034499306843	1358	12911
Mainland China	14.83652729819385	7.397604068216421	222	1256
Climate	12.207068910219157	9.47862291986215	365	2566
Fold (geology)	12.628030239027128	17.180524580905377	323	1882
Pacific Ocean	20.250204501888675	10.063295834997126	234	2740
Antarctica	9.484115165048527	11.387806851828156	1749	7737
South Pole	9.632372451577716	14.477022052100672	991	1919
Indian Ocean	41.32361393216543	10.139902323952308	138	1946
Arctic Ocean	12.977100814605214	9.597602184801625	153	2374
Inuit	10.874910333711435	12.717652446510934	982	8681
Basket	16.992868192435353	19.83909770739018	192	251
South America	14.000854992825506	12.609619481076994	343	4488
Bed	12.390614109811818	16.853711211275975	17	2190
Asia	14.583360805722833	11.379803959437478	249	4363
Coordinated Universal Time	10.826717770778416	10.777327035709932	192	3900
Television	8.844246741960495	8.690443002682871	369	3610
Sociology	8.727801807049252	8.724407681355512	527	8046
Sky	9.77615837151876	14.845040611950843	116	726
Dollar	14.88903579136287	13.92267151162782	115	1700
Beer	7.877680723224127	8.36485816740297	707	6524
Eurasia	9.322564820784809	16.404563031106413	222	942
North Pole	13.286218583953342	12.735747480450014	187	3915
Plural	6.526955358707275	5.008642665744041	154	1430
Alexander Gode	17.46799430008484	18.731655140133547	30	463
Oceania	19.149643567148487	11.437147737508843	69	1397
Southern Ocean	13.021658076700406	10.817350864059083	69	1817
Catalan language	25.854930990628798	14.829406365850327	126	3734
Corset	19.174038261117765	7.565621589918454	20	2937
Pop music	13.151190679073277	10.035306820268167	672	1349
General semantics	70.07456317085087	8.287717401168639	110	2164
Semiotics	23.03030714031242	4.161126474008618	83	1918
Wikipedia:General disclaimer	18.13813268626161	23.46138610718076	925	879
Wikipedia:Block log	28.413494013143605	-1.0	622	36
Nitrogen	5.021269919201878	7.2099855457739075	534	4788
Association football	12.13566990857058	8.291690767995336	513	5149
Wikipedia:Upload log	6.247550281916874	-1.0	4220	24
Wikipedia:Cleanup	10.0	19.211594454334076	93	698
Wikipedia:Glossary	10.036868215453651	40.60610885987704	1167	13914
Earthquake	8.09352570767341	3.5671857777611256	955	5208
Scurvy	8.947952566057465	10.825667077165706	209	3733
Ion	3.6349991820407155	3.6248986863404085	461	2320
Cognitive science	32.064533569276804	6.2816900777788485	70	3780
Anthropology	12.733996676535824	4.126799728764906	212	7664
Education	9.282381462481164	12.577341917025274	347	4411
Army	13.644148274382921	11.028282143149415	433	2558
Theology	7.390642698864122	11.57727367656382	174	1860
Romania	7.624824148591996	11.946979479748482	3711	10508
Argon	8.824447456005652	9.481927011906816	67	2472
Trade	8.134649907931003	18.851513611602154	271	2514
European Union	13.24135121656941	10.155506420078932	1138	9811
Greece	9.325127168274086	14.10111718506828	1696	9075
Sweden	14.316781157434905	15.718019785742674	379	15786
Albert Einstein	12.35951150257123	10.752999549967855	5051	8338
Euro	8.878540147428293	5.731266872778866	513	5179
Currency	6.567628726956385	8.475838442272416	170	2677
Radio telescope	20.85557570999614	9.444975179005027	175	1652
Korea	7.90277690653435	12.7268127135043	1548	5795
Switzerland	8.660985503208629	10.221013130604414	1417	11218
LOL	9.14103078931247	11.668945382046147	197	1279
Wikipedia:Deletion policy	13.366313668344423	16.188847241237546	726	2023
Wikipedia:Protection policy	-1.0	14.391085014784986	280	2038
United States dollar	8.945803948079531	8.18677154522441	484	8136
Fluid ounce	26.0626721228298	3.7423863785764078	33	380
Meteor shower	19.01508873703929	13.01778461399139	88	1998
Cat	5.595400103142772	5.718440874227702	2610	11860
Engineering	8.986614084752246	13.453724691129638	604	3521
Communication	23.28867987650369	13.206544636756337	220	3040
Miracle	19.36458842772553	12.965546314567469	159	3586
Wikipedia:Accuracy dispute	15.854569515568388	12.427589136937348	133	69
English language	8.30489821694398	15.535983582896185	1065	8778
William Shakespeare	12.867170971877057	17.36684948188535	483	6971
Trier	10.352849000744165	15.21450507048321	54	1422
Computer network	7.346484031485423	8.142812943776278	323	3268
Turkey	8.272447654597373	14.534760128653424	533	8462
Thomm	12.211411221485433	33.16486937525009	78	63
Bible	15.000299716741711	7.989199918332141	823	6087
Bavaria	10.596999942326866	9.840526391465074	153	4181
Rome	13.073943936290007	6.794097710344141	751	12186
Carnivore	10.5517452247572	9.201560725769395	126	974
Cologne	13.990537015794672	12.053553542799042	437	5212
Senegal	11.31004131481858	12.17761948239189	294	3457
Developmental biology	11.943711048023893	13.274069532865186	425	1281
1920s	6.5702752534689	19.668668948377437	33	490
Outer space	19.33094462776625	6.083896165866087	263	3976
Centripetal force	10.627230569268036	8.032100093045466	149	3269
Treaty	22.145505878760407	11.138303799152878	79	3826
Luxembourg	12.399323048074057	11.836285463108938	136	3874
Baden-WÃ¼rttemberg	11.279138080324179	16.79995674074012	415	2322
Vienna	9.228047704880943	12.665765898759709	177	6567
Telescope	12.368366908481777	10.466321752218862	159	1441
Homonym	21.444922052470957	11.674938874098938	59	597
Peru	12.09565561269975	16.37972845904314	722	3108
States of Germany	11.965859825449558	11.796063962562547	43	4980
Munich	14.51476033898691	12.458304604579492	356	7475
Berlin	10.056072768588413	10.902894365923752	213	9099
1930s	-1.0	8.571609185124155	20	447
1940s	-1.0	23.29552215566056	21	1381
1950s	-1.0	17.270628541497917	21	1446
MediaWiki:Googlesearch	-1.0	42.32816538193301	4	56
Hamburg	12.246310084877186	9.773459613955906	279	7637
Emphysema	14.046515287873545	10.593941018179908	386	2291
Oxygen	9.009925822666753	7.750860642569348	437	7512
Blood	5.013187986666779	4.022119909553029	921	4859
1960s	-1.0	19.983635971066565	20	4170
1970s	-1.0	17.451026860201672	21	6328
1980s	19.511721602216088	3.325792179741884	242	3330
1990s	10.0	23.122458842977704	36	3236
North Rhine-Westphalia	11.252407045809095	7.807975738157468	37	1781
Computer program	11.253212846351579	7.876921796777992	210	1838
Data	-1.0	15.79072037231899	41	1277
Stuttgart	11.70514998681276	7.879779146097332	100	6211
Schwerin	14.009735830524162	11.044424927224641	43	514
Russia	8.89420874933456	12.97738245379372	1329	16059
Moscow	13.727900728127741	7.947299281460427	1603	11252
Saarland	20.611708753587955	11.628073530410603	165	3012
Iceland	10.609399466666128	14.879325099374432	888	9103
1965	10.0	18.630820754447466	16	17
1969	10.0	7.346370593179563	26	51
SaarbrÃ¼cken	16.297932521950102	16.159205978746026	42	860
Saarlouis	4.508254116564886	13.087425369283286	47	722
